asin,title,brand,price,costBasis,estimatedProfit,roiPercent,profitMarginPercent,qualifies,rating,reviewCount,monthlySold,isPrime,url,reasons
B08B5GZXHN,"Signature Organic Extra Virgin Olive Oil 2L (2QT 3.6 fl. oz), Set of 2",KIRKLAND,51.99,16.99,35,206,67.32,1,4.6,499,400,,https://www.amazon.com/Kirkland-Signature-Organic-Extra-Virgin/dp/B08B5GZXHN/ref=sr_1_38?dib=eyJ2IjoiMSJ9.pPdDRHm24jHPyDJsAPVb4zGrCiz7nyX4dzy6KDbn79GXTePKM81dqoW8Ij3onT6cUvtik8KTGUkw9Q1AaKvHV0JPEj5a1D4qf0aSLUiYMu_lX0yapUx9mTfH6mgJVN5wz8CcQu9JO-9YWO2ni81QKyUuhzMAVm4_Vx1degmRlmIOvmfKR-xneNAvKtVfYbHgAMLY2I3LKs8VGl0wLWJUhmwKtSKMZDAUzhbp_ZZXJVtCfISeyMmEuZxVA1-XoYePG10GYp1jVqrihdueY_00vTUeZc_hs1h773Lf0fU7kb0.6QAkFRPfZadacFC5JsAdwuigqamQWIuIatVrvP4VJWI&dib_tag=se&keywords=kirkland&qid=1786432034&sr=8-38,
B095MLHJ97,"Kirkland Signature Daily Facial Towelettes, 180 Count",,29.49,14.99,14.5,96.73,49.17,1,4.6,245,500,,https://www.amazon.com/Kirkland-Signature-Daily-Facial-Towelettes/dp/B095MLHJ97/ref=sr_1_61?dib=eyJ2IjoiMSJ9.G6Xkt_7qX8wgYB06izCp0r_S0X9674aFWpx6dvwdJLYibNghMWWeoxQsizk-sxUZyoGUcPwSzMqzrEERkz1ba1jcaEVhAlEK_0pH3liki0n6SNuL4uGbuFviZPu0g1CwKc0ZsBq0w0CPxj8ty_66_7MYTmNCkmNaTRoGKcfMbkpWzfPwjshEKqguk6y31WpHmZfBt7GGTrc-fzBuCOSZxrH3kwfQc03m6YnnERDaMKhwRUoDrTHFeaDpxratkJ1vuMYHjll3I46ofHbC4J5sVKaczywyT138T1KVegF1N8w.l0yVsACJkc09Umxxtc3XAyaruXEkDB23qrkd4IfDOD8&dib_tag=se&keywords=kirkland&qid=1786432048&sr=8-61&xpid=frUhMA0xMyFrz,
B07D1VXS3T,"Signature Kirkland signature moist flushable wipes 632 wipes, 632 count, White",KIRKLAND,27.8,14.99,12.81,85.46,46.08,1,4.6,37,400,,https://www.amazon.com/Kirkland-Signature-signature-moist-flushable/dp/B07D1VXS3T/ref=sr_1_74?dib=eyJ2IjoiMSJ9.G6Xkt_7qX8wgYB06izCp0r_S0X9674aFWpx6dvwdJLYibNghMWWeoxQsizk-sxUZyoGUcPwSzMqzrEERkz1ba1jcaEVhAlEK_0pH3liki0n6SNuL4uGbuFviZPu0g1CwKc0ZsBq0w0CPxj8ty_66_7MYTmNCkmNaTRoGKcfMbkpWzfPwjshEKqguk6y31WpHmZfBt7GGTrc-fzBuCOSZxrH3kwfQc03m6YnnERDaMKhwRUoDrTHFeaDpxratkJ1vuMYHjll3I46ofHbC4J5sVKaczywyT138T1KVegF1N8w.l0yVsACJkc09Umxxtc3XAyaruXEkDB23qrkd4IfDOD8&dib_tag=se&keywords=kirkland&qid=1786432048&sr=8-74&xpid=frUhMA0xMyFrz,
B00MG4X4LK,Krikland Signature Ultra Clean Premium Laundry Detergent with 2X Concentrate,,37.49,29.99,7.5,25.01,20.01,1,4.6,505,50,,https://www.amazon.com/Krikland-Signature-Premium-Detergent-Concentrate/dp/B00MG4X4LK/ref=sr_1_14?dib=eyJ2IjoiMSJ9.nhVMwQL5a0C4qrBnAD0MxE6x8jsHOrmuCmbj_cv90sltbJqcaIWbouGsNGO7D3A9S5jXqFUl_tgMZVOdL38dH29HGqOlmewjTQmHlfNo_To4-sGFYEodv4pYKhj7SAe9cVMELfdLKjs2jHY3AIfskIOECq6ydhQqnsqM2ES4BZDuZPQoYvOsYYFjPH06Ku7qBG8nT_qTWNgfM1B2vxR9zRu0WnlfE8-REstSEStQ4aOJv1ayNe7sEtTJC7eYhzvgOZ1MEmWnf15Iqwt-ZdqzUZNX0GKASOKTl8VcE5Q-GgY.XDdnc_MoUo67Ulj4mCfTx39K33pCEUnS0Gr1_BN6a_8&dib_tag=se&keywords=kirkland%2Bsignature&qid=1786432040&sr=8-14,
