asin,title,brand,price,costBasis,estimatedProfit,roiPercent,profitMarginPercent,qualifies,rating,reviewCount,monthlySold,isPrime,url,reasons
B08B5GZXHN,"Signature Organic Extra Virgin Olive Oil 2L (2QT 3.6 fl. oz), Set of 2",KIRKLAND,51.99,16.99,35,206,67.32,1,4.6,498,300,,https://www.amazon.com/Kirkland-Signature-Organic-Extra-Virgin/dp/B08B5GZXHN/ref=sr_1_104?dib=eyJ2IjoiMSJ9.WRVzfTNuSrHm5nWTbCWtAgRudrea0AMtRVZp1iyZimW-OmEUww0aPIsDqqUOHJjRjj9liGlClgUizB37gFFDk9qUeIo98odu2ZaYRUFwId5P0MOi7StuRvKAPu9JL3YBdPTsUSE5py7KBaFOXYBplZ2HwqiYHtYCBRWktMVH2qHJ-aTBt4Z6oQTFe9Nk-CGW1YEq0KqAAvS74rEBaTlgmPNQrlqJ_lPwdRzVhqaUtVPK89TvrMoe-kdZOgSzhvD_5OqQ750hhzeVw5u5ZxX_gD5pqpEM5xua8qcCOHuCrXc.b7LGprx3rfB6bZoZ1_WgtM6_7iw6XqoMpFnjmK7skLg&dib_tag=se&keywords=kirkland&qid=1784698367&sr=8-104&xpid=IJK9hFanPbugC,
B0792C4QLL,Signature Premium Dishwasher Detergent Pacs: Lemon Citrus Scent - 2 Count (230 Pacs) + Bonus Gift,KIRKLAND,34.5,13.99,20.51,146.6,59.45,1,4.4,110,50,,https://www.amazon.com/Kirkland-Signature-Premium-Dishwasher-Detergent/dp/B0792C4QLL/ref=sr_1_78?dib=eyJ2IjoiMSJ9.WRVzfTNuSrHm5nWTbCWtAgRudrea0AMtRVZp1iyZimW-OmEUww0aPIsDqqUOHJjRjj9liGlClgUizB37gFFDk9qUeIo98odu2ZaYRUFwId5P0MOi7StuRvKAPu9JL3YBdPTsUSE5py7KBaFOXYBplZ2HwqiYHtYCBRWktMVH2qHJ-aTBt4Z6oQTFe9Nk-CGW1YEq0KqAAvS74rEBaTlgmPNQrlqJ_lPwdRzVhqaUtVPK89TvrMoe-kdZOgSzhvD_5OqQ750hhzeVw5u5ZxX_gD5pqpEM5xua8qcCOHuCrXc.b7LGprx3rfB6bZoZ1_WgtM6_7iw6XqoMpFnjmK7skLg&dib_tag=se&keywords=kirkland&qid=1784698367&sr=8-78&xpid=IJK9hFanPbugC,
B003FGTTUI,"Signature Extra Virgin Olive Oil Toscano (from Tuscany), 1 Liter",KIRKLAND,39.53,16.99,22.54,132.67,57.02,1,4.6,234,0,,https://www.amazon.com/Kirkland-Signature-Virgin-Toscano-Tuscany/dp/B003FGTTUI/ref=sr_1_65?dib=eyJ2IjoiMSJ9.ZMahZyXby63WoSyIjXF8QWxxYLWa8R2pYct4DtwnM_aPe_vs-O3lzWFs3rWPPIjRvxen8sXkxhSDtDpvmHbYC6vzNAf6WymcrKNRs8MjbvacgSFDyz_PGCMZok02jnFz3SdmaxYO3XR-sTCxHicsoh7PRFxgtnMSW5jn-pqTT-gnX_LdlghXMTbRvIua5BNMTbpZooa2FjFDPv5s_iKLRkyrLe13bjN6i-PJtW55AUmJXjz9r0gluBi1J8mUmYRAcDtF6lKiyhpdcTYPSOOtzwjGgE-03cL3CfiNPNiEqLc.MrHyIUjtq2YLtR6DhErdwxhWeWeF3EACsfQsdFboPg8&dib_tag=se&keywords=kirkland%2Bsignature&qid=1784698368&sr=8-65&xpid=r25FZew06PTt4,
B095MLHJ97,"Kirkland Signature Daily Facial Towelettes, 180 Count",,30.48,14.99,15.49,103.34,50.82,1,4.6,239,400,,https://www.amazon.com/Kirkland-Signature-Daily-Facial-Towelettes/dp/B095MLHJ97/ref=sr_1_58?dib=eyJ2IjoiMSJ9.r3V_BxN8Yz6LLHKHOlTMiY3hXIWt_bGne4oWfVpFbgcSeyG1r6HFRteZTMpYuNXVjAGxl-42kI5_PCJy6knqqve_UylGV1wDsNDfc7hEspi8xDxMHh2uJSvatEiTM_4jJIK6aJ7OypZJiRFya33-Sfg0phkvHr0bbNf3N3JDAmjYLMmu0fnsBooNtBHWtN432E-0nWLsMqn4qt70_p3wednhIE0jkSP-SnUURt_kqcdC0I_x89Ohj3gFEqLXRH7dr9Rq0FzL_v-ITcuqk8-sDm0dDDJnAONis5g_NxltUg0.O0dlt7UNJeDTADBXoMTYHgcVdmVxoRMW7shsIGSEgv8&dib_tag=se&keywords=kirkland&qid=1784698354&sr=8-58,
B0797ZFMY3,"Signature Organic Extra Virgin Olive Oil, 3.6 fl. oz.",KIRKLAND,30.68,16.99,13.69,80.58,44.62,1,4.6,69,200,,https://www.amazon.com/Kirkland-Signature-Organic-Extra-Virgin/dp/B0797ZFMY3/ref=sr_1_16?dib=eyJ2IjoiMSJ9.o6uPELVDhKKFBySA-amrA0gx_OeOOlX0I3_vwkJDGvATOp3zWHvjfVOtx46_T9h3rd97PkqtkXBdjchl4DMkRpwUD6juMIxcOQF5pOfrO7FQJpCm4ZG4J2Iav2ZIU_JKM414DeSHl7rPA2FqIA95fHQj_vbdKRqwVSXDDNLSd_LH2HTpkLSsXcQVg6bsAXzfr8LZMxgRjHNSQljNCH_f1vFuUzlSQrwGfujRt9eOsmQQDMJIhAAx4FaFFL_h9NVRHOM9iFtTjCCGaNh9PN6P-mGqvOhPSmmCkX7uYiyifD0.aZRudseYGI_0UqpMkj391-Rg6zE3sf6dKupqw951rSg&dib_tag=se&keywords=kirkland%2Bsignature&qid=1784698354&sr=8-16,
B00MG4X4LK,Krikland Signature Ultra Clean Premium Laundry Detergent with 2X Concentrate,,36.86,29.99,6.87,22.91,18.64,1,4.5,503,50,,https://www.amazon.com/Krikland-Signature-Premium-Detergent-Concentrate/dp/B00MG4X4LK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.o6uPELVDhKKFBySA-amrA0gx_OeOOlX0I3_vwkJDGvATOp3zWHvjfVOtx46_T9h3rd97PkqtkXBdjchl4DMkRpwUD6juMIxcOQF5pOfrO7FQJpCm4ZG4J2Iav2ZIU_JKM414DeSHl7rPA2FqIA95fHQj_vbdKRqwVSXDDNLSd_LH2HTpkLSsXcQVg6bsAXzfr8LZMxgRjHNSQljNCH_f1vFuUzlSQrwGfujRt9eOsmQQDMJIhAAx4FaFFL_h9NVRHOM9iFtTjCCGaNh9PN6P-mGqvOhPSmmCkX7uYiyifD0.aZRudseYGI_0UqpMkj391-Rg6zE3sf6dKupqw951rSg&dib_tag=se&keywords=kirkland%2Bsignature&qid=1784698354&sr=8-1,
B082HD5KL6,Organic Seaweed Roasted 10 17g Kirkland Signature,,22.75,16.99,5.76,33.9,25.32,,4.8,105,100,,https://www.amazon.com/KIRKLAND-SIGNATURE-Kirkland-Signature-Organic/dp/B082HD5KL6/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.r3V_BxN8Yz6LLHKHOlTMiY3hXIWt_bGne4oWfVpFbgcSeyG1r6HFRteZTMpYuNXVjAGxl-42kI5_PCJy6knqqve_UylGV1wDsNDfc7hEspi8xDxMHh2uJSvatEiTM_4jJIK6aJ7OypZJiRFya33-Sfg0phkvHr0bbNf3N3JDAmjYLMmu0fnsBooNtBHWtN432E-0nWLsMqn4qt70_p3wednhIE0jkSP-SnUURt_kqcdC0I_x89Ohj3gFEqLXRH7dr9Rq0FzL_v-ITcuqk8-sDm0dDDJnAONis5g_NxltUg0.O0dlt7UNJeDTADBXoMTYHgcVdmVxoRMW7shsIGSEgv8&dib_tag=se&keywords=kirkland&qid=1784698354&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,Sponsored result
