rank,asin,cogs_ceiling,buy_box,fba_fee,fba_fee_basis
114,B001UB44SM,6.3,27.8,12.5,enriched
115,B0DB431TC6,6.3,27.8,12.5,enriched
116,B0BYWDD115,6.24,19.99,4.75,enriched
117,B00BPPN94S,5.99,29.99,15.0,enriched
118,B0FR2R5JGN,5.73,19.98,5.25,enriched
119,B0FR2NRT5J,5.72,19.97,5.25,enriched
120,B0FR2S1S3Q,5.72,19.97,5.25,enriched
121,B0GDZWHFKG,5.72,19.97,5.25,enriched
122,B0GVW48D8F,5.71,19.96,5.25,enriched
123,B082HD5KL6,5.15,18.9,4.75,enriched
124,B0GJN7B98M,4.98,19.23,5.25,enriched
125,B00OPQZJA6,4.88,20.98,7.1,enriched
126,B0GDZJBMZ6,4.85,19.1,5.25,enriched
127,B08WNNF9LF,4.79,19.89,6.1,enriched
128,B007889Z1C,4.74,18.99,5.25,enriched
129,B004CSGRS0,4.69,19.79,6.1,enriched
130,B0CP8GKNSR,4.14,25.64,12.5,enriched
131,B07N798Y1J,3.89,18.99,6.1,enriched
132,B00BH3HPZW,3.41,17.66,5.25,enriched
133,B0FXTFW29W,3.0,17.25,5.25,enriched
134,B0FR2NK7QB,2.72,16.97,5.25,enriched
135,B00BTKX3YU,2.7,16.95,5.25,enriched
136,B004885T38,2.68,16.93,5.25,enriched
137,B0D3FQ7H7B,2.65,18.75,7.1,enriched
138,B0GCKKFBVF,2.6,16.85,5.25,enriched
139,B07Q2HHLVN,2.54,17.64,6.1,enriched
140,B01AIVTJMA,2.0,15.75,4.75,enriched
141,B0FRYG9XK6,1.91,16.16,5.25,enriched
142,B00P8ZAWK0,1.74,15.99,5.25,enriched
143,B0007L6NLC,1.36,16.46,6.1,enriched
144,B072FSTWC9,1.24,14.99,4.75,enriched
145,B0GH8F16GH,1.24,14.99,4.75,enriched
146,B07D83C3TS,0.92,14.67,4.75,enriched
147,B004EEN97E,0.89,15.99,6.1,enriched
148,B07K73FTRJ,0.85,15.95,6.1,enriched
149,B01N9SOK2Y,0.79,17.99,8.2,enriched
150,B0FC4TG61M,0.46,14.71,5.25,enriched
151,B0GDSX221B,0.22,13.97,4.75,enriched
152,B071P7TRSN,0.04,13.79,4.75,enriched
153,B0CB71V975,-0.11,14.99,6.1,enriched
154,B0DXCHPK49,-0.26,13.99,5.25,enriched
155,B0CV64JLDF,-0.3,14.8,6.1,enriched
156,B00JZVWE0O,-0.46,16.74,8.2,enriched
157,B07PBSMWXF,-1.11,14.99,7.1,enriched
158,B0F7GTX962,-1.15,13.95,6.1,enriched
159,B01M7Y0NEX,-1.21,14.89,7.1,enriched
160,B0GR6YQJLT,-1.26,12.99,5.25,enriched
161,B0FPFMT1MS,-1.3,12.95,5.25,enriched
162,B00JI7APH4,-2.76,10.99,4.75,enriched
163,B0F45WF91C,-2.91,12.19,6.1,enriched
164,B00BI33NU2,-3.16,11.94,6.1,enriched
165,B01NABAG3F,-3.57,10.68,5.25,enriched
166,B07N7CTW4Q,-3.76,9.99,4.75,enriched
167,B0C9MRN3L9,-3.85,9.9,4.75,enriched
168,B0DD8F9LMW,-4.26,9.99,5.25,enriched
169,B077GS636P,-5.11,9.99,6.1,enriched
170,B0849K24NC,-6.0,8.25,5.25,enriched
171,B09KMH36RF,-7.27,6.98,5.25,enriched
172,B089XK85BB,-7.35,6.9,5.25,enriched
173,B0DG4C2KFW,-8.85,6.25,6.1,enriched
174,B002S4RSEW,-9.11,6.99,7.1,enriched
175,B077SN37K5,-12.03,3.07,6.1,enriched
176,B0784S6ZCJ,-12.07,3.03,6.1,enriched
177,B08B1J4275,-20.03,3.97,15.0,enriched
