rank,asin,profit,roi_pct,buy_box,cogs,fba_fee,fba_fee_basis,match_quality,title
1,B0H1Z5D4LC,13.95,70.5,38.99,19.79,5.25,enriched,high_confidence,KIRKLAND Signature Women's Travel Pant
2,B0H1Z1P3YW,9.95,50.3,34.99,19.79,5.25,enriched,high_confidence,KIRKLAND Signature Women's Travel Pant
