rank,asin,cogs_ceiling,buy_box,fba_fee,fba_fee_basis
85,B0GR6MB9WH,6.89,25.5,5.25,enriched
86,B0C54FYHQ2,6.61,26.2,6.1,enriched
87,B0CVFHDQ81,6.47,27.26,7.1,enriched
88,B003V2JBEK,6.46,24.99,5.25,enriched
89,B097XQ7STS,6.38,24.9,5.25,enriched
90,B0FFN89JXC,6.18,24.66,5.25,enriched
91,B0CLR489VZ,6.13,23.99,4.75,enriched
92,B00269UWFG,5.82,26.49,7.1,enriched
93,B00HK14QGQ,5.69,29.75,9.9,enriched
94,B0GDZCHDCL,5.59,23.97,5.25,enriched
95,B00G6RK1NM,5.3,25.88,7.1,enriched
96,B09KMNXXPF,5.28,22.99,4.75,enriched
97,B0CD4B5FHV,5.28,22.99,4.75,enriched
98,B07N754R6S,5.18,22.88,4.75,enriched
99,B0DLKS43SQ,5.1,26.98,8.2,enriched
100,B0F9L6YZ9C,5.02,23.3,5.25,enriched
101,B081THWMDK,4.97,25.49,7.1,enriched
102,B0F9HGHF4C,4.76,22.99,5.25,enriched
103,B0FR2RM35B,4.76,22.99,5.25,enriched
104,B0H56ZBZGS,4.73,22.35,4.75,enriched
105,B07DBVGJ39,4.52,23.75,6.1,enriched
106,B085F1QCB9,4.19,27.99,9.9,enriched
107,B0DC4RDMQC,4.18,21.7,4.75,enriched
108,B0F1L327HT,3.91,21.99,5.25,enriched
109,B07H4YC1GC,3.69,27.4,9.9,enriched
110,B0GJ6Z4J59,3.66,21.7,5.25,enriched
111,B07H3TXVR7,3.03,21.99,6.1,enriched
112,B01IQ9O05C,2.84,22.99,7.1,enriched
113,B00G5KD56U,2.82,22.96,7.1,enriched
114,B0BYWDD115,2.73,19.99,4.75,enriched
115,B0FR2R5JGN,2.2,19.98,5.25,enriched
116,B0FR2NRT5J,2.19,19.97,5.25,enriched
117,B0FR2S1S3Q,2.19,19.97,5.25,enriched
118,B0GDZWHFKG,2.19,19.97,5.25,enriched
119,B0GVW48D8F,2.18,19.96,5.25,enriched
120,B082HD5KL6,1.8,18.9,4.75,enriched
121,B0GJN7B98M,1.56,19.23,5.25,enriched
122,B0GDZJBMZ6,1.45,19.1,5.25,enriched
123,B007889Z1C,1.36,18.99,5.25,enriched
124,B001UB44SM,1.34,27.8,12.5,enriched
125,B0DB431TC6,1.34,27.8,12.5,enriched
126,B08WNNF9LF,1.24,19.89,6.1,enriched
127,B004CSGRS0,1.16,19.79,6.1,enriched
128,B00OPQZJA6,1.13,20.98,7.1,enriched
129,B00BPPN94S,0.62,29.99,15.0,enriched
130,B07N798Y1J,0.48,18.99,6.1,enriched
131,B00BH3HPZW,0.23,17.66,5.25,enriched
132,B0FXTFW29W,-0.12,17.25,5.25,enriched
133,B0FR2NK7QB,-0.36,16.97,5.25,enriched
134,B00BTKX3YU,-0.38,16.95,5.25,enriched
135,B004885T38,-0.39,16.93,5.25,enriched
136,B0GCKKFBVF,-0.46,16.85,5.25,enriched
137,B0CP8GKNSR,-0.49,25.64,12.5,enriched
138,B07Q2HHLVN,-0.67,17.64,6.1,enriched
139,B0D3FQ7H7B,-0.76,18.75,7.1,enriched
140,B01AIVTJMA,-0.88,15.75,4.75,enriched
141,B0FRYG9XK6,-1.05,16.16,5.25,enriched
142,B00P8ZAWK0,-1.19,15.99,5.25,enriched
143,B072FSTWC9,-1.52,14.99,4.75,enriched
144,B0GH8F16GH,-1.52,14.99,4.75,enriched
145,B0007L6NLC,-1.67,16.46,6.1,enriched
146,B07D83C3TS,-1.8,14.67,4.75,enriched
147,B004EEN97E,-2.07,15.99,6.1,enriched
148,B07K73FTRJ,-2.11,15.95,6.1,enriched
149,B0FC4TG61M,-2.28,14.71,5.25,enriched
150,B0GDSX221B,-2.39,13.97,4.75,enriched
151,B071P7TRSN,-2.54,13.79,4.75,enriched
152,B01N9SOK2Y,-2.55,17.99,8.2,enriched
153,B0DXCHPK49,-2.89,13.99,5.25,enriched
154,B0CB71V975,-2.92,14.99,6.1,enriched
155,B0CV64JLDF,-3.08,14.8,6.1,enriched
156,B00JZVWE0O,-3.61,16.74,8.2,enriched
157,B0GR6YQJLT,-3.74,12.99,5.25,enriched
158,B0FPFMT1MS,-3.78,12.95,5.25,enriched
159,B0F7GTX962,-3.81,13.95,6.1,enriched
160,B07PBSMWXF,-3.96,14.99,7.1,enriched
161,B01M7Y0NEX,-4.04,14.89,7.1,enriched
162,B00JI7APH4,-4.92,10.99,4.75,enriched
163,B0F45WF91C,-5.3,12.19,6.1,enriched
164,B00BI33NU2,-5.51,11.94,6.1,enriched
165,B01NABAG3F,-5.71,10.68,5.25,enriched
166,B07N7CTW4Q,-5.77,9.99,4.75,enriched
167,B0C9MRN3L9,-5.85,9.9,4.75,enriched
168,B0DD8F9LMW,-6.29,9.99,5.25,enriched
169,B077GS636P,-7.17,9.99,6.1,enriched
170,B0849K24NC,-7.77,8.25,5.25,enriched
171,B09KMH36RF,-8.85,6.98,5.25,enriched
172,B089XK85BB,-8.92,6.9,5.25,enriched
173,B0DG4C2KFW,-10.35,6.25,6.1,enriched
174,B002S4RSEW,-10.76,6.99,7.1,enriched
175,B077SN37K5,-13.05,3.07,6.1,enriched
176,B0784S6ZCJ,-13.09,3.03,6.1,enriched
177,B08B1J4275,-21.5,3.97,15.0,enriched
