rank,asin,cogs_ceiling,buy_box,fba_fee,fba_fee_basis
1,B0HFXZCFNT,219.31,279.0,8.2,enriched
2,B08PS7YJV2,122.83,165.49,8.2,enriched
3,B0G16FV2QL,84.15,119.99,8.2,enriched
4,B0GPFH3Q2V,83.56,119.29,8.2,enriched
5,B08TL2GD3Y,76.33,112.85,9.9,enriched
6,B07CH9Y7Y8,75.7,107.49,6.1,enriched
7,B09VK75PYG,69.37,99.0,5.25,enriched
8,B07BSYHH39,59.88,93.5,9.9,enriched
9,B01CZ637O2,57.09,85.59,6.1,enriched
10,B076ZFG1ZH,56.89,89.99,9.9,enriched
11,B07CH3SMS4,42.3,67.16,5.25,enriched
12,B00JQRFOTA,38.43,61.99,4.75,enriched
13,B07N6YF2SF,36.44,61.3,6.1,enriched
14,B008M2VYOE,36.2,59.98,5.25,enriched
15,B077LCPQ34,34.85,61.99,8.2,enriched
16,B07HLSQ147,34.54,69.9,15.0,enriched
17,B07CHRV2PR,34.29,59.99,7.1,enriched
18,B0154AVVSK,33.89,62.93,9.9,enriched
19,B075D6XMYW,32.66,61.48,9.9,enriched
20,B098MTHVBK,30.76,52.97,4.75,enriched
21,B08B5GZXHN,30.26,52.99,5.25,enriched
22,B01KHC9D6C,29.19,53.99,7.1,enriched
23,B0FP119Q3V,27.71,49.99,5.25,enriched
24,B0734BGSKY,27.2,52.99,8.2,enriched
25,B01EWBH2VM,25.89,47.85,5.25,enriched
26,B00EA1PFEG,25.68,46.99,4.75,enriched
27,B00BP4UGYU,25.36,52.89,9.9,enriched
28,B07GDWR1BX,23.98,44.99,4.75,enriched
29,B074ZPLDS8,23.29,50.46,9.9,enriched
30,B08JJV9M86,22.58,44.99,6.1,enriched
31,B0H2788M9Z,22.27,45.85,7.1,enriched
32,B0H9GL43LZ,21.76,42.99,5.25,enriched
33,B0FVWFFTYV,20.71,41.76,5.25,enriched
34,B00U56JTPG,20.28,43.5,7.1,enriched
35,B0C54GXFQ8,19.42,42.49,7.1,enriched
36,B0D91KYL2J,18.96,41.95,7.1,enriched
37,B0H1Z5D4LC,18.36,38.99,5.25,enriched
38,B003FGTTUI,16.99,40.97,8.2,enriched
39,B0D9B4WRQT,16.8,45.99,12.5,enriched
40,B0FY3V7SZN,16.19,36.44,5.25,enriched
41,B0D5C26QDQ,15.69,35.85,5.25,enriched
42,B0H1Z1P3YW,14.96,34.99,5.25,enriched
43,B01AJM0SL4,14.42,37.95,8.2,enriched
44,B01FFV68KO,14.23,37.73,8.2,enriched
45,B075XP6PGK,14.22,45.99,15.0,enriched
46,B079BKWK6L,14.08,34.99,6.1,enriched
47,B00D1J091M,13.86,37.29,8.2,enriched
48,B0DY56S3SZ,13.78,32.99,4.75,enriched
49,B00XU9FM8S,13.55,38.99,9.9,enriched
50,B0DXCL4HDZ,13.34,32.48,4.75,enriched
51,B0FB47R7H3,13.26,32.99,5.25,enriched
52,B075DKFDNB,13.23,33.99,6.1,enriched
53,B0C6B3RSB8,13.02,34.96,7.1,enriched
54,B0CS6Z9SRX,12.85,33.54,6.1,enriched
55,B08CGFZNSB,12.63,33.29,6.1,enriched
56,B00BPFX2I6,12.41,35.59,8.2,enriched
57,B008Q90CBO,12.34,35.5,8.2,enriched
58,B01LBWZDCA,11.34,32.99,7.1,enriched
59,B0DPY44TGM,11.34,32.99,7.1,enriched
60,B0B5M38FTT,11.33,32.98,7.1,enriched
61,B0GVVYYKS8,11.15,29.9,4.75,enriched
62,B00PF44IAO,11.06,34.0,8.2,enriched
63,B08HSJKTPG,11.0,35.99,9.9,enriched
64,B0027EOTKO,10.55,33.4,8.2,enriched
65,B072TT12DZ,10.55,33.4,8.2,enriched
66,B005ECO5KU,10.51,30.79,6.1,enriched
67,B08634QYFT,10.5,29.75,5.25,enriched
68,B00QCW31QU,10.49,31.99,7.1,enriched
69,B0797ZFMY3,10.17,32.95,8.2,enriched
70,B0H1ZHGR7K,9.69,28.79,5.25,enriched
71,B07886L38V,9.64,30.99,7.1,enriched
72,B00CCQWK6C,9.46,30.78,7.1,enriched
73,B0CVFGV9WW,9.35,31.98,8.2,enriched
74,B0017SURSY,9.3,33.99,9.9,enriched
75,B0FGLSBQH9,9.02,28.0,5.25,enriched
76,B0DLKRV4XS,8.78,29.98,7.1,enriched
77,B0D11ZSLCX,8.5,30.99,8.2,enriched
78,B09B82XJJL,8.16,26.99,5.25,enriched
79,B0FR2QZS15,8.16,26.99,5.25,enriched
80,B01H40O42I,7.77,25.92,4.75,enriched
81,B0GD8CH5BX,7.31,25.99,5.25,enriched
82,B079JS2QYG,7.18,31.5,9.9,enriched
83,B0F2GX5ZW3,7.16,25.82,5.25,enriched
84,B0D7J7JZD4,6.98,24.99,4.75,enriched
