Priority tier,Opportunity score,Decision-ready status,ASIN,Exact Amazon title,Amazon brand,Amazon category,Amazon pack / size / count,Amazon current price,Amazon BSR rank,Amazon BSR category,Demand lane,Observed offer count,Costco candidate title,Costco candidate item number,Costco candidate UPC,Costco candidate pack / size / count,Costco current shelf price,Costco instant-savings amount,Costco final shelf price,Costco unit-normalized cost,Package-match status,Match source,Match confidence,Costco found in warehouse?,Costco warehouse location,Store item number confirmed?,UPC confirmed?,Shelf price observed,Promo observed,Final paid price observed,Pack / size observed,Package photo captured?,Date checked,Notes / mismatch detail
T1,,Yes,B01M7Y0NEX,"KIRKLAND Signature-87507 Wastebasket Liners, Clear, 10 Gallon, 500 ct",Kirkland Signature,Health & Household,"10 gallon, 500 count",23.59,15986,Health & Household,medium (~156/mo),10,"Kirkland Signature 10-Gallon Wastebasket Liner, Clear, 500-count",87507,,500 count,14.99,,14.99,0.02998,Exact,operator_supplied,High,,,,,,,,,,,
T1,,Yes,B07H4YC1GC,KIRKLAND Signature Moist Flushable Enhanced Cleansing & Freshness Ultra Soft Hypoallergenic Plant-Based Wipes - 640 Count,Kirkland Signature,Health & Household,640 count,26.88,207447,Health & Household,very_low (~20/mo),12,"Kirkland Signature Premoistened Flushable Wipes, Fragrance Free, 640-count",1652990,,640-count,19.99,,19.99,0.03123,Exact,operator_supplied,High,,,,,,,,,,,
T2,,Yes,B00GYZWNY6,KIRKLAND Kirkland Extra Strength Glucosamine 1500 mg Chondroitin 1200 mg 220 Tablets,Kirkland Signature,Health & Household,220 tablets,29.25,6639,Health & Household,medium (~377/mo),66,"Kirkland Signature Glucosamine & Chondroitin, 280 Tablets",1665191,,280 Tablets,29.99,,29.99,,Different pack,operator_supplied,Medium,,,,,,,,,,,"Current Costco SKU is 280-count; older Amazon 220-count appears discontinued. Pharmacy promotion: buy 5+, get 30.00 off."
T2,,Yes,B00NPQZ20O,"KIRKLAND KIRKLAND Signature Adult 50+ Multi Vitamins & Minerals, 400 Tablets (2 Pack)",Kirkland Signature,Health & Household,"400 tabs, 2-pack",39.95,75201,Health & Household,low (~28/mo),21,"Kirkland Signature Adult 50+ Mature Multi Vitamins & Minerals, 400 Tablets",424976,,400 Tablets (single),17.99,,17.99,,Different pack,operator_supplied,Medium,,,,,,,,,,,"Costco is one 400-count bottle; compare against 35.98 for two units. Amazon BB listed 39.95. [shared Costco item 424976 also maps to B00P8ZAWK0, B00YGMN122]"
T2,,Yes,B014K3BF24,"KIRKLAND Signature Baby Wipes, Ultra-Soft, Unscented, 100 Count Wipes Pack of 6",Kirkland Signature,Baby,6-pack,27.59,3234,Baby,unknown,20,"Kirkland Signature Baby Wipes Fragrance Free, 900-count",1493188,,900-count,23.99,,23.99,,Different pack,operator_supplied,Medium,,,,,,,,,,,Costco has 900-count case; no confirmed matching six-pack. [shared Costco item 1493188 also maps to B00SWZUC8U]
T2,,Yes,B01KW9KWW4,"KIRKLAND Kirkland Signature OPTIFIBER, 25.6 Ounces 190 Servings (2 Pack)",Kirkland Signature,Health & Household,"190 servings, 2-pack",37.98,26544,Health & Household,medium (~93/mo),47,"Kirkland Signature OPTIFIBER, 26.8 Ounces, 190 Servings",1349614,,190 Servings (single),18.99,3.00,15.99,,Different pack,operator_supplied,Medium,,,,,,,,,,,Costco is single unit; Amazon listing is 2-pack. Compare against 31.98 for two Costco units. Was 18.99; 3.00 off.
T2,,Yes,B01NCRITAE,"KIRKLAND Signature Extra Strength D3 50 mcg., 600 Softgels (2 Pack)",Kirkland Signature,Health & Household,"600 softgels, 2-pack",27.98,33798,Health & Household,medium (~70/mo),19,"Kirkland Signature Extra Strength D3 50 mcg (2000 IU), 600 Softgels",393914,,600 Softgels (single),14.99,2.50,12.49,,Different pack,operator_supplied,Medium,,,,,,,,,,,Confirm whether Amazon is truly a 2-pack before comparing. Was 14.99.
T2,,Yes,B07881PTTX,KIRKLAND Signature Vitamin C 500mg 2-Pack or 1000 Tangy Orange Chewable Tablets,Kirkland Signature,Health & Household,2-pack,30.89,106630,Health & Household,very_low (~20/mo),16,"Kirkland Signature Chewable Vitamin C 500 mg, 500 Tablets",98501,,500 Tablets (single),17.99,,17.99,,Different pack,operator_supplied,Medium,,,,,,,,,,,Costco price is per bottle; compare with two units only if Amazon is confirmed 2-pack. [shared Costco item 98501 also maps to B00MPYTSGG]
T3,,No,B0FPFMT1MS,"KIRKLAND Minoxidil for Men Liquid, Extra Strength Hair Regrowth Treatment 5%, 6 Months Supply - Upgraded Dropper Applicator and Bonus Free Guide Included",Kirkland Signature,,,12.89,,,,1,,,,,,,,,Unknown,unmatched,Unknown,,,,,,,,,,,
T3,,No,B00BH3HPZW,"KIRKLAND Fiber Capsules Kirkland Therapy for Regularity/Fiber Supplement, 360 capsules - Compare to the Active Ingredient in Metamucil Capsules",Kirkland Signature,,,17.59,,,,1,,,,,,,,,Unknown,unmatched,Unknown,,,,,,,,,,,
